run,fold,accuracy,precision,recall,specificity,f1,auc,mcc
1,5.5,0.8569852941176471,0.910064935064935,0.8644444444444443,0.8452380952380952,0.8739875423853751,0.9331746031746032,0.7331828202229864
2,5.5,0.8889705882352942,0.934040404040404,0.8844444444444445,0.8857142857142858,0.9046883921032528,0.9450793650793651,0.7776722911416527
3,5.5,0.8522058823529411,0.8956637806637806,0.8511111111111112,0.8452380952380952,0.8660444783974196,0.9471428571428572,0.7099474416523386
4,5.5,0.8764705882352942,0.9563888888888888,0.8355555555555556,0.9380952380952381,0.8862710698314412,0.9389682539682539,0.7693808281524964
5,5.5,0.8816176470588235,0.9393939393939394,0.8655555555555555,0.9119047619047619,0.8968214654282765,0.9454761904761904,0.7708158347099544
6,5.5,0.8768382352941175,0.9173737373737374,0.8755555555555556,0.8785714285714287,0.8949196520713547,0.9304761904761906,0.7488264231291561
7,5.5,0.8452205882352942,0.8867174492174492,0.8744444444444444,0.7952380952380953,0.8693835005051185,0.9437301587301586,0.702375765121322
8,5.5,0.8944852941176471,0.9145454545454547,0.9177777777777777,0.8619047619047618,0.912906285321146,0.9632539682539683,0.7867732100172586
9,5.5,0.8702205882352942,0.917008547008547,0.8744444444444444,0.8571428571428571,0.8896884581445088,0.9488888888888889,0.7359143642222901
10,5.5,0.8882352941176471,0.9402777777777779,0.8777777777777779,0.9119047619047619,0.9026733500417711,0.9326984126984126,0.7879428984149054
