fold,accuracy,precision,recall,specificity,f1,auc,mcc
1,0.8235294117647058,1.0,0.7,1.0,0.8235294117647058,0.9857142857142858,0.7
2,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,1.0,0.8874119674649423
3,0.6875,0.7777777777777778,0.7,0.6666666666666666,0.7368421052631579,0.85,0.3578300267477955
4,0.875,1.0,0.8,1.0,0.8888888888888888,0.8333333333333334,0.7745966692414834
5,0.8125,1.0,0.7,1.0,0.8235294117647058,0.9166666666666667,0.6831300510639732
6,0.8125,1.0,0.7,1.0,0.8235294117647058,0.8833333333333334,0.6831300510639732
7,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9365079365079365,0.8819171036881969
8,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9523809523809523,0.8819171036881969
9,0.8125,1.0,0.6666666666666666,1.0,0.8,0.8253968253968254,0.6831300510639732
10,0.75,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.7777777777777778,0.9047619047619047,0.49206349206349204
